情感极性,博主,发布时间,博文
0,小叶朴_6002,01月03日 22:46,外出佩戴口罩密闭空间少呆 像防流感一样防不明原因肺炎 近日，武汉华南市场发生的不明原因肺炎事件，将“不明原因肺炎”的概念带入公众视野。1月3日，武汉市卫生健康委发布最新进展，截至2020年1月3日8时，共发现符合不明原因的病毒性肺炎诊断患者44例，其中重 O外出佩戴口罩密闭空间少呆 像防流感一样防不明原因肺炎 ?
0,映象网,01月03日 22:46,【武汉卫健委：#武汉发现不明原因病毒性肺炎重症11例#】3日，#武汉卫健委通报不明原因肺炎#：2019年12月以来，我委开展呼吸道疾病及相关疾病监测，发现不明原因的病毒性肺炎病例，病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。截至2020年1月3日8时，共发现符合不明原因的病毒性肺 ?  展开全文c
-1,finalrebel,01月03日 22:47,#武汉卫健委通报不明原因肺炎#比起到武汉我好像还是更愿意坐国航吧 ?
-1,CHENZJBNB_,01月03日 22:47,#武汉卫健委通报不明原因肺炎#吓人 ?
0,张掖检察,01月03日 22:49,【武汉卫健委：#武汉发现不明原因病毒性肺炎重症11例#】3日，#武汉卫健委通报不明原因肺炎#：2019年12月以来，我委开展呼吸道疾病及相关疾病监测，发现不明原因的病毒性肺炎病例，病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。截至2020年1月3日8时，共发现符合不明原因的病毒性肺 ?  展开全文c
-1,向向向晨,01月03日 22:50,#武汉发现不明原因肺炎##武汉不明原因肺炎已做好隔离#武汉的事不好说，都被抓好几个了 O如何看待武汉发现不明原因肺炎？具体情况如何？ ?
-1,晚鹿-,01月03日 22:50,#武汉卫健委通报不明原因肺炎#希望尽快查明病因！及时控制病情，确认是否会人传人。老天保佑！??武汉的人民多加小心！ ?
-1,用户6245095514,01月03日 22:51,#武汉卫健委通报不明原因肺炎#太可怕了，我最近老是头疼，不知道咋回事 ?
0,-萌懵檬,01月03日 22:51,#武汉发现不明原因肺炎# 10号的火车票去武汉旅游 现在不知道是去还是不去 ?
0,清风V金林339,01月03日 22:52,最新通报！武汉发现不明原因肺炎患者44例 其中重症11例 最新通报！武汉发现不明原因肺炎患者44例 其中重症11例 。。。今年年关如此不好过？生命在疾病面前太脆弱了，希望能尽快控制疫情，不然这中国新年也太难过了。。。猪年左一轮又一轮猪瘟，眼看鼠年来了，又来这么一出？世事难料。。。  ?  展开全文c
0,用户灵兰秘典,01月03日 22:53,"湖北武汉发现不明原因肺炎：患者增至44例 重症11例,湖北武汉发现不明原因肺炎，患者增至44例，重症11例。 L[新闻直播间]湖北武汉发现不明原因肺炎 患者增至44例 重症11例 ?"
0,水中彩石2012,01月03日 22:54,《#武汉发现不明原因肺炎# - 百度》#武汉发现不明原因肺炎# - 百度O网页链接 ………什么叫不明原因，国内“专家”无法辩解吗，是不是可以引进世卫组织一流专家来解答！ ?
0,南国早报,01月03日 22:54,【#武汉卫健委通报不明原因病毒性肺炎情况#：重症11例】截至今天8时，武汉市卫健委共发现符合不明原因的病毒性肺炎诊断患者44例，其中重症11例。目前所有病例均接受隔离治疗，已追踪到121名密切接触者并进行医学观察。初步调查表明，未发现明显的人传人证据，未发现医务人员感染。O网页链接 ?  展开全文c
0,拂煦,01月03日 22:54,#武汉卫健委通报不明原因肺炎#终于通报了，不然大家总是不安心，都很害怕的。 ?
0,水中彩石2012,01月03日 22:54,《#武汉发现不明原因肺炎# - 百度》#武汉发现不明原因肺炎# - 百度O网页链接 ………什么叫不明原因，国内“专家”无法辩解吗，是不是可以引进世卫组织一流专家来解答！ ?
0,南国早报,01月03日 22:54,【#武汉卫健委通报不明原因病毒性肺炎情况#：重症11例】截至今天8时，武汉市卫健委共发现符合不明原因的病毒性肺炎诊断患者44例，其中重症11例。目前所有病例均接受隔离治疗，已追踪到121名密切接触者并进行医学观察。初步调查表明，未发现明显的人传人证据，未发现医务人员感染。O网页链接 ?  展开全文c
0,拂煦,01月03日 22:54,#武汉卫健委通报不明原因肺炎#终于通报了，不然大家总是不安心，都很害怕的。 ?
1,李泽清,01月03日 22:54,#武汉卫健委通报不明原因肺炎#希望武汉乡亲健康平安，2020认真的回家过个好年！提前预祝春节愉快，阖家欢乐！没有什么比健康平安更重要！ 
0,_XuuuuJ_Ni,01月03日 22:55,#武汉卫健委通报不明原因肺炎#所以跨年老梅来找我，我是救了他一命？ ?
1,Xylonanao,01月03日 22:55,#武汉卫健委通报不明原因肺炎#希望武汉这波快点过去～ ?
0,陈文伍,01月03日 22:56,#武汉卫健委通报不明原因肺炎#【重症11例】武汉市卫健委今天（3日）发布情况通报。截至2020年1月3日8时，共发现符合不明原因的病毒性肺炎诊断患者44例，其中重症11例，其余患者生命体征总体稳定。目前所有病例均接受隔离治疗，已追踪到121名密切接触者并进行医学观察。初步调查表明，未发现明显的人传 ?  展开全文c
0,陈文伍,01月03日 22:56,#武汉卫健委通报不明原因肺炎#【重症11例】武汉市卫健委今天（3日）发布情况通报。截至2020年1月3日8时，共发现符合不明原因的病毒性肺炎诊断患者44例，其中重症11例，其余患者生命体征总体稳定。目前所有病例均接受隔离治疗，已追踪到121名密切接触者并进行医学观察。初步调查表明，未发现明显的人传 ?  展开全文c
0,儿科医生沈振宇,01月03日 22:57,哪些原因会导致孩子肺炎？引起肺炎的原因很多，大致上分为感染性因素（即各种病原菌感染）和非感染性因素，如奶汁呛入、全身其他疾病影响、放射性因素等。但对于儿童来说，引起肺炎的最主要因素是各种病原菌的感染，常见的病原有病毒、细菌、支原体、衣原体等致病微生物。 ????  ?  展开全文c
0,chy886la,01月03日 22:59,#武汉卫健委通报不明原因肺炎#已买口罩 ?
0,chy886la,01月03日 22:59,#武汉卫健委通报不明原因肺炎#已买口罩 ?
0,很匆忙,01月04日 22:08,武汉人民在肺炎恐吓下看演出唱歌嘴张的贼大一结束口罩戴的比谁都快 ?
1,ChineseRock摇滚地狱,01月04日 22:09,之前一直没空看乐队的夏天巡演，这次正好在武汉撞到了就偷摸找个角落来看一下，肺炎也没阻挡武汉乐迷冲过来看演出，总的一个观感就是很震撼，很感动，也不是说没看过乐队在体育馆的演出，这些乐队也里并非都是我喜欢的乐队，唱的也并非都是我喜欢的歌（都是在节目里唱过的那些，也并非我就喜欢满场的荧 ?  展开全文c
-1,RM视频集锦,01月04日 22:21,武汉肺炎，民众带口罩不仅是对自身的负责，更加是对别人，对大众的负责。没必说网上说武汉有肺炎，就硬是不带口罩，来证明武汉没事。这种想法是非常幼稚的。当然了，带不带也是个人意愿，我也会尊重。希望中国完善医疗机制，减少民众恐慌。 ?
0,阿斓兰,01月04日 22:22,我围观了@曲黎敏官方微博 的回答，该问题价值99.00元，围观仅1元，快来一起围观~ O微博问答 ?
0,2020加油李涛,01月04日 22:26,香港 武汉 肺炎 - 百度O网页链接 ?
0,用户7283164846,01月04日 22:33,我围观了@曲黎敏官方微博 的回答，该问题价值99.00元，围观仅1元，快来一起围观~ O微博问答 ?
0,沧桑的6叔,01月04日 22:36,香港政府因应武汉不明肺炎即时启动严重应变级别，港大感染及传染病中心总监何栢良表示，按现时武汉市卫生健康委员会公布的资料显示，有充分理由分析今次事件是涉及新型病毒，相信当地有发生怀疑涉及人传人的情况，认为香港特区政府要当作病毒可以人传人的情况应付。  ?
-1,小叶小叶专心学业,01月04日 22:39,武汉肺炎的事情一直没个结果搞得我想回家又不敢回家我要是在路上遇到病人，在车上遇到病人怎么办呢，对吧。我家那么好的地方，我真的怕我把武汉的病毒带回去了。在查出来这个病是什么病之前，我真的不敢回去。那这几天到底还去不去图书馆了啊……有点不敢去了。 ?
0,财爷说股-张海舟,01月04日 22:39,#今日看盘# 【香港卫生署：武汉肺炎病例共接获5宗加强监测报告 其中3例为甲流】财联社1月4日讯，据《第一财经日报》援引香港特区政府网站称，香港特区政府卫生署卫生防护中心1月3日晚就武汉肺炎病例群组个案提供的最新资讯，自2019年12月31日起，卫生署卫生防护中心共接获5宗加强监测个案的报告，而患 ?  展开全文c
0,佛自在世界,01月04日 22:39,（观察者网讯）香港特区食物及卫生局局长陈肇始1月4日表示，香港累计已出现7宗到访武汉后疑似感染不明肺炎个案，其中4人已经出院，其余3人情况稳定。同一天，特区政府公布“对公共卫生有重要性的新型传染病准备及应变计划”（应变计划），宣布启动“严重”应变级别。#跟新浪看热点#   ?  展开全文c
0,汤洪策,01月04日 22:42,2019年12月以来，武汉市卫健委开展呼吸道疾病及相关疾病监测，发现不明原因的病毒性肺炎病例，病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。 O网页链接 ?
0,George-瓜瓜,01月04日 22:49,新加坡衛生部接獲首起與武漢肺炎疫情有關的可疑病例，病患是三歲中國籍女童，患有肺炎也曾到過武漢。 ?
0,杨咩咩成长录,01月04日 22:52,????1Y5M+17D昨天和今天的照片~周五补元旦的休，和周末一起凑了个小长假。依旧是全身心陪你，流感和武汉的肺炎让妈妈很紧张，不敢带你去人太多的地方，希望你平安的度过流感期。昨天爸爸上班，和奶奶一起带你去江汉路约姑妈吃饭，觉得你在外面吃饭真的就超级乖，我们大人聊我们的，你吃你的，吃 ?  展开全文c
0,故童话啊,01月04日 22:53,#武汉发现不明原因肺炎# 希望明天能在发个通知，最好确定病因和类型，?? ?
-1,舟阿花呀ennn,01月04日 22:56,很久没有开始碎碎念了，去年的一年过的相当的快，跨年夜去了江滩，第一次体会到了人山人海，真的是被人推着往前走，很开心能和我姐一起，but，明年我不想再来了，最近武汉因为肺炎或者新型病毒搞得人心惶惶，出门总是不记得戴口罩，离过年的天数也是越来越近了，大家都要好好的  ?  展开全文c
0,九州微言,01月04日 22:59,九州微评#武汉发现不明原因肺炎# 新加坡今日发现首例疑似肺炎病例，三岁的患者小女孩不久前刚去过武汉！目前，小女孩已经被隔离进行进一步诊断治疗。昨天（1月3日），新加坡卫生部才刚刚发布文告，规定所有从武汉飞往新加坡的旅客，都必须在抵达樟宜机场时接受体温检测，详情可戳 ?  展开全文c
0,风湿科聂医生,01月05日 22:56,有人问我如何看待武汉的不明原因肺炎排除了2003年的新型冠状病毒，中东的另一个新冠状病毒。而很可能又是一个另类新型冠状病毒。我早就预言了呀。不信你看我当时的微博。1，没有人传人，没有医务人员救治时易被传播的特征，基本排除了2003年的新型冠状病毒可能。2，没有人去中东，且没有单峰驼的 ?  展开全文c
0,美美过夏天,01月05日 22:56,#武汉不明原因肺炎已排除SARS病原#终于放心了 ?
0,小太阳雨蝶韵,01月05日 22:56,#武汉不明原因肺炎已排除SARS病原# ?
0,用户凉风吹,01月05日 22:56,互联网时代，信息万变，一刻可传遍世界的每一个角落……这次“肺炎”事件的每日一报还是比以往任何时候都迅速和重视了……?? ?? 但是民众还是忧心忡忡……要知道要放寒假了马上春运了……人员的流动会加速疫情的扩散……?? ?? “武汉卫健委：不明原因肺炎诊断患者59例 重症7例 已排 ?  展开全文c
1,一只猫star,01月05日 22:56,#武汉不明原因肺炎已排除SARS病原# 希望控制病情??????打消社会疑虑 ?
-1,梦中呓语001,01月05日 22:57,#武汉肺炎#举一个例子：猪瘟从2018年春季从黑龙江杀到海南，再杀到台湾省，越南势如破竹，实在顶不住了才把猪瘟这是抖出来，居然还有人在舔说我们消息透明？他发出来消息的时候全国的??死的估计连四成都没了！我很想相信官方消息，但是我的理智让我高度怀疑。比如这次，我相信 不 是 非 典 ，但是感 ?  展开全文c
0,湖南城事,01月05日 22:57,【#武汉不明原因肺炎已排除SARS病原#】#城事观察# 任何一种突发的不明原因疾病，均需要一个时间的分析和研判，并拿出诊疗方案！有些疫苗甚至还需要根据查找的原因重新研发！这就需要在综合诊治的情况下，做好疾病的预防和防治作用！防止扩散到更多群体！ 
0,書-玍-孔乙魢,01月05日 22:57,#财经头条#武汉不明原因肺炎已排除SARS病原 未发现人传人证据(本文分享自财经头条) 文章详情: O网页链接 ?
0,絮叨的John,01月05日 22:58,原本前几天要去华南眼镜批发市场去配眼镜的，正巧碰上肺炎传说。华南海鲜市场的停车场已封闭，没办法停车，把车停到300米以外的汉口火车站附近的停车场。       虽然华南海鲜市场封闭了，但是周边人群没有什么异样。几十米之内的银行、公安局、医院都一切正常。除了在华南海鲜城执勤的警务人员带了口 ?  展开全文c
0,黄石日报,01月05日 22:58,【最新消息！#武汉不明原因肺炎排除SARS病原#】今天，武汉卫健委通报：截至1月5日8时，我市共报告符合不明原因的病毒性肺炎诊断患者59例，其中重症患者7例，其余患者生命体征总体稳定，目前所有患者均在武汉市医疗机构接受隔离治疗，#武汉不明原因肺炎无死亡病例#。在59例患者中，病例最早发病时间为
0,郭靖五五,01月05日 22:58,#武汉不明原因肺炎已排除SARS病原#看来极有可能是未被发现的病毒或病原体导致的，所幸患者不是很多，也还没有人际间传染的证据，要不然还真可能造成大范围的恐慌。 ?
0,济南市天桥区人民检察,01月05日 22:58,【#武汉不明原因肺炎已排除SARS病原#！目前共59例，其中重症7例】目前所有患者均在武汉市医疗机构接受隔离治疗，无死亡病例。已排除流感、禽流感、腺病毒、传染性非典型肺炎(SARS)和中东呼吸综合征(MERS)等呼吸道病原。#武汉病毒性肺炎已排除SARS病原#O已排除SARS病原！武汉发现不明原因病毒性肺炎59例，其中重症7例 ?
0,湖北电视台官方微博,01月05日 22:58,【最新通报：排除SARS，武汉共发现不明原因病毒性肺炎59例】2019年12月31日以来，我委在全市开展了不明原因的病毒性肺炎病例搜索和回顾性调查工作。截至2020年1月5日8时，我市共报告符合不明原因的病毒性肺炎诊断患者59例，其中重症患者7例，其余患者生命体征总体稳定，目前所有患者均在武汉市医疗机 ?  展开全文c
1,齐鲁小苗,01月05日 22:58,武汉不明原因的肺炎，估计要每日通报了，当地卫健委，估计每天也是压力巨大。希望尽早得到根治，把市民的恐惧从心头抹去。 ?
1,入殺阵,01月05日 22:58,#武汉不明原因肺炎已排除SARS病原#要平安 ?
1,jojoisangle_不想吃柠檬,01月05日 22:58,#武汉不明原因肺炎已排除SARS病原# 一个甲流一个肺炎，每到冬天都像过关的。希望都早日康复，希望大家都健健康康的，好好准备迎接春节！ ?
-1,LbylkwL,01月05日 22:59,衣服在精不在多，嫌我衣服买多了，而且买的不是大牌子你和同事聊到武汉不明肺炎都从来没有关心过我 也没有让我注意什么  不会担心我知道我心里不舒服也不会哄 昨天也是 以前也是 你在用自己的刚 向我表明 你是不会惯着我的 对啊 我也不需要你惯着我 自然有人愿意关心我我也不需要别人惯着 ?
0,木乃伊的心跳Esther,01月05日 22:59,武汉卫健委：不明原因病毒性肺炎排除SARS，患者上升至59例，未发现明确的人传人证据O武汉卫健委：不明原因病毒性肺炎排除SARS，患者上升至59例，未发现明确的人传人证据 ?
0,听了个事儿,01月05日 22:59,【最新消息！#武汉不明原因肺炎已排除SARS病原#】截至2020年1月5日8时，武汉共报告符合不明原因的病毒性肺炎诊断患者59例，其中重症患者7例，其余患者生命体征总体稳定，目前所有患者均在武汉市医疗机构接受隔离治疗，无死亡病例。在59例患者中，病例最早发病时间为2019年12月12日，最晚发病时间为1
0,从宇宙黑洞飞出火凤凰,01月06日 22:45,【疑染病女子拒留医 港卫生署：无法定权力处理拒绝隔离的病人】湖北省武汉市爆发不明肺炎个案后，引发各方关注。香港卫生署今日(6日)证实，1名到武汉后出现上呼吸道感染征状的45岁女子，拒绝留医。卫生防护中心昨日接获律敦治医院通知，有关女病人入院，但其后再接获院方通知，病人要求出院，并已于昨 ?  展开全文c
-1,Yuxxn,01月06日 22:47,来一个不明原因肺炎我就凉凉了… 才从武汉来又吃了海鲜… 2广州·南方医科大学第三附属医院 ?
-1,曾曾遛蜗牛,01月06日 22:47,妹妹今天咳嗽加重，清水鼻涕也多了。孩爸下班回到家，就说他同事孩子肺炎，咳嗽十几天后发烧才查出来了。问妹妹呼哧呼哧的，是否要带妹妹去看。孩爸小时候得过肺炎，从此闻咳嗽巨变。我以前跟他无数遍说，你咳嗽那么多次才只得过一次肺炎，我从没得过，我家人都没得过，不是谁咳嗽就会咳出肺炎的 ?  展开全文c
-1,小酒窝一切随风而逝,01月06日 22:48,嫁给一个不理解你，不爱你的人。你做得再多都是你应该的。即使之前肺炎最近几天一直在咳嗽，就怕复发(叫他明天把四个大窗户拿下来，我能大扫除)  一大堆话，只要五分钟的活还得看他安排朋友一句话，立刻跟上去的人，老婆，只是来做家务带孩子的(如果理解还好  一直告诉自己，不要生气，身体是自己的 ?  展开全文c
0,梅若盛开2012,01月06日 22:49,图解疾病|肺炎 O图解疾病|肺炎 ?
